to make,делать / создавать
to sleep,спать
to wake,будить / просыпаться
to rest,отдыхать
to relax,расслабляться
to enjoy,наслаждаться
to celebrate,праздновать
to travel,путешествовать
to drive,водить / ехать
to fly,летать
to ride,ехать (верхом)
to swim,плавать
to jump,прыгать
to climb,взбираться
to fall down,падать
to stand,стоять
to sit,сидеть
to lie,лежать
to wait,ждать
to stay,оставаться
to leave,уходить / оставлять
to arrive,прибывать
to enter,входить
to exit,выходить
to visit,посещать
to meet,встречать
to introduce,представлять / знакомить
to invite,приглашать
to greet,приветствовать
to thank,благодарить
to apologize,извиняться
to complain,жаловаться
to argue,спорить
to discuss,обсуждать
to negotiate,вести переговоры
to cooperate,сотрудничать
to participate,участвовать
to contribute,вносить вклад
to involve,вовлекать
to include,включать
to exclude,исключать
to contain,содержать
to consist,состоять
to belong,принадлежать
to own,владеть
to possess,обладать
to borrow,брать в долг
to lend,давать в долг
to rent,арендовать
to hire,нанимать
to employ,нанимать
to fire,увольнять
to quit,увольняться / бросать
to apply,подавать заявку / применять
to register,регистрировать
to sign,подписывать
to fill in,заполнять
to cancel,отменять
to postpone,откладывать
to delay,задерживать
to schedule,планировать
to book,бронировать
to reserve,резервировать
to implement,реализовывать / внедрять
to deploy,развёртывать
to release,выпускать / публиковать
to launch,запускать
to review,проверять / рецензировать
to approve,одобрять
to merge,сливать / объединять
to split,разделять
to extend,расширять
to expand,расширять
to shrink,сжимать
to compress,сжимать
to encrypt,шифровать
to decrypt,расшифровывать
to encode,кодировать
to decode,декодировать
to parse,разбирать / парсить
to format,форматировать
to validate,проверять / валидировать
to filter,фильтровать
to map,отображать / преобразовывать
to reduce to,сводить к
to iterate,итерировать / перебирать
to loop,повторять в цикле
to execute,выполнять
to compile,компилировать
to debug,отлаживать
to refactor,рефакторить
to optimize,оптимизировать
to configure,настраивать
to install,устанавливать
to uninstall,удалять (программу)
to import,импортировать
to export,экспортировать
to upload,загружать (на сервер)
to download,скачивать
to sync,синхронизировать
to backup,делать резервную копию
to restore from,восстанавливать из
to override,переопределять
to overwrite,перезаписывать
to inherit,наследовать
to extend from,наследовать от
to catch error,перехватывать ошибку
to handle,обрабатывать
to trigger,запускать / инициировать
to emit,испускать / посылать (событие)
to subscribe,подписываться
to unsubscribe,отписываться
to render,отрисовывать / рендерить
to fetch,получать (данные)
to request,запрашивать
to respond,отвечать
to authenticate,аутентифицировать
to authorize,авторизовать
to log in,входить (в систему)
to log out,выходить (из системы)
to grant,предоставлять (доступ)
to revoke,отзывать (доступ)
to allocate,выделять (память)
to release memory,освобождать память
to flush,сбрасывать (буфер)
to cache,кэшировать
to queue,ставить в очередь
to schedule task,планировать задачу
to poll,опрашивать
to broadcast,транслировать
to route,маршрутизировать
to forward,пересылать
to proxy,проксировать
to mock,мокать / подменять
to stub,заглушать
to assert,утверждать / проверять
to benchmark,измерять производительность
to profile,профилировать
to trace,трассировать
to monitor,наблюдать / мониторить
to scale,масштабировать
to provision,подготавливать (ресурсы)
to rollback,откатывать
to patch,патчить / латать
to bump,повышать (версию)
to lint,проверять стиль кода
to commit,коммитить / фиксировать
to clone,клонировать
to fork,форкать / ответвлять
to rebase,перебазировать
to stash,прятать (изменения)
to checkout,переключаться (на ветку)
to tag,помечать тегом
to annotate,аннотировать
to serialize,сериализовать
to deserialize,десериализовать
to normalize,нормализовать
to sanitize,очищать / обеззараживать
to truncate,усекать / обрезать
to round,округлять
to parse out,извлекать (парсингом)
to resolve,разрешать (зависимости)
to reject promise,отклонять (промис)
to await,ожидать (асинхронно)
to yield,возвращать поэтапно
to spawn,порождать (процесс)
to terminate,завершать
to kill,убивать (процесс)
to restart,перезапускать
to reboot,перезагружать
to boot,загружать (систему)
to mount,монтировать
to unmount,размонтировать
to format disk,форматировать диск
to partition,разбивать на разделы
to index,индексировать
to query,запрашивать (из БД)
to join tables,соединять таблицы
to aggregate,агрегировать
to migrate,мигрировать / переносить
to seed,наполнять (начальными данными)
to purge,очищать полностью
new,новый
old,старый
young,молодой
big,большой
large,крупный
small,маленький
little,маленький / немного
huge,огромный
tiny,крошечный
long,длинный
short,короткий
tall,высокий
wide,широкий
narrow,узкий
deep,глубокий
shallow,мелкий
thick,толстый
thin,тонкий
high,высокий
low,низкий
heavy,тяжёлый
light,лёгкий
fast,быстрый
slow,медленный
quick,быстрый
early,ранний
late,поздний
hard,трудный / твёрдый
easy,лёгкий
difficult,сложный
simple,простой
complex,сложный (составной)
complicated,запутанный
clear,ясный / понятный
obvious,очевидный
strange,странный
weird,странный
normal,нормальный
common,обычный / распространённый
rare,редкий
usual,обычный
unusual,необычный
special,особый
general,общий
specific,конкретный
particular,определённый
main,главный
major,главный / крупный
minor,незначительный
important,важный
serious,серьёзный
real,настоящий
true,истинный
false,ложный
right,правильный / правый
wrong,неправильный
correct,верный
incorrect,неверный
valid,действительный
invalid,недействительный
good,хороший
bad,плохой
great,отличный
nice,приятный
fine,прекрасный / нормальный
poor,бедный / плохой
rich,богатый
expensive,дорогой
cheap,дешёвый
free,свободный / бесплатный
busy,занятый
empty,пустой
full,полный
complete,завершённый
incomplete,незавершённый
ready,готовый
available,доступный
unavailable,недоступный
possible,возможный
impossible,невозможный
necessary,необходимый
useful,полезный
useless,бесполезный
helpful,полезный / отзывчивый
harmful,вредный
dangerous,опасный
safe,безопасный
secure,защищённый
strong,сильный
weak,слабый
powerful,мощный
fragile,хрупкий
stable,стабильный
unstable,нестабильный
reliable,надёжный
flexible,гибкий
robust,устойчивый / надёжный
efficient,эффективный
slow-running,медленный (в работе)
clean,чистый
dirty,грязный
fresh,свежий
modern,современный
ancient,древний
recent,недавний
current,текущий
previous,предыдущий
next,следующий
final,окончательный
initial,начальный
basic,базовый
advanced,продвинутый
default,по умолчанию
custom,пользовательский / настраиваемый
standard,стандартный
official,официальный
public,публичный / открытый
private,приватный / закрытый
internal,внутренний
external,внешний
local,локальный
remote,удалённый
global,глобальный
shared,общий / разделяемый
unique,уникальный
similar,похожий
different,разный
equal,равный
various,различные
multiple,множественный
single,единственный
double,двойной
empty-handed,с пустыми руками
whole,целый
entire,весь / целиком
partial,частичный
total,общий / суммарный
exact,точный
approximate,приблизительный
accurate,точный
precise,точный
rough,грубый / приблизительный
detailed,подробный
brief,краткий
huge-scale,масштабный
tight,тесный / плотный
loose,свободный / слабый
smooth,гладкий / плавный
sharp,острый
soft,мягкий
warm,тёплый
cold,холодный
hot,горячий
cool,прохладный
dry,сухой
wet,мокрый
bright,яркий
dark,тёмный
quiet,тихий
loud,громкий
calm,спокойный
angry,злой
happy,счастливый
sad,грустный
tired,усталый
afraid,испуганный
proud,гордый
glad,рад
nervous,нервный
confident,уверенный
curious,любопытный
boring,скучный
interesting,интересный
exciting,волнующий
funny,смешной
serious-minded,серьёзный
honest,честный
kind,добрый
polite,вежливый
rude,грубый
smart,умный
clever,сообразительный
stupid,глупый
wise,мудрый
brave,храбрый
lazy,ленивый
careful,осторожный
careless,небрежный
patient,терпеливый
friendly,дружелюбный
quickly,быстро
slowly,медленно
carefully,осторожно
easily,легко
hardly,едва
nearly,почти
almost,почти
exactly,точно
probably,вероятно
maybe,может быть
perhaps,возможно
certainly,конечно
definitely,определённо
absolutely,абсолютно
clearly,ясно
obviously,очевидно
actually,на самом деле
basically,в основном
generally,в целом
usually,обычно
normally,обычно
rarely,редко
often,часто
sometimes,иногда
always,всегда
never,никогда
already,уже
yet,ещё / уже
still,всё ещё
soon,скоро
recently,недавно
lately,в последнее время
eventually,в конце концов
finally,наконец
immediately,немедленно
suddenly,внезапно
gradually,постепенно
together,вместе
apart,отдельно
instead,вместо этого
otherwise,иначе
however,однако
therefore,поэтому
besides,кроме того
moreover,более того
furthermore,кроме того
nevertheless,тем не менее
meanwhile,тем временем
anyway,в любом случае
indeed,действительно
mostly,в основном
roughly,примерно
specifically,в частности
particularly,особенно
mainly,главным образом
directly,напрямую
indirectly,косвенно
properly,должным образом
correctly,правильно
accordingly,соответственно
person,человек
people,люди
man,мужчина
woman,женщина
child,ребёнок
kid,ребёнок
baby,младенец
boy,мальчик
girl,девочка
adult,взрослый
teenager,подросток
family,семья
parent,родитель
father,отец
mother,мать
son,сын
daughter,дочь
brother,брат
sister,сестра
husband,муж
wife,жена
grandfather,дедушка
grandmother,бабушка
uncle,дядя
aunt,тётя
cousin,двоюродный брат/сестра
nephew,племянник
niece,племянница
friend,друг
neighbor,сосед
colleague,коллега
partner,партнёр
stranger,незнакомец
guest,гость
host,хозяин / ведущий
member,участник / член
team,команда
group,группа
crowd,толпа
society,общество
community,сообщество
government,правительство
citizen,гражданин
customer,клиент
client,клиент
user,пользователь
visitor,посетитель
audience,аудитория
employee,сотрудник
employer,работодатель
manager,менеджер / руководитель
director,директор
boss,начальник
leader,лидер
owner,владелец
founder,основатель
worker,работник
staff,персонал
expert,эксперт
specialist,специалист
professional,профессионал
beginner,новичок
student,студент
pupil,ученик
teacher,учитель
professor,профессор
doctor,врач
nurse,медсестра
engineer,инженер
developer,разработчик
programmer,программист
designer,дизайнер
architect,архитектор
scientist,учёный
researcher,исследователь
analyst,аналитик
accountant,бухгалтер
lawyer,юрист
journalist,журналист
writer,писатель
artist,художник
musician,музыкант
actor,актёр
driver,водитель
pilot,пилот
farmer,фермер
chef,повар
waiter,официант
seller,продавец
buyer,покупатель
consultant,консультант
volunteer,волонтёр
soldier,солдат
officer,офицер
police,полиция
firefighter,пожарный
body,тело
head,голова
face,лицо
eye,глаз
ear,ухо
nose,нос
mouth,рот
tooth,зуб
tongue,язык (орган)
lip,губа
neck,шея
shoulder,плечо
arm,рука (от плеча)
elbow,локоть
wrist,запястье
hand,кисть / рука
finger,палец
thumb,большой палец
chest,грудь
back,спина
stomach,живот
waist,талия
hip,бедро
leg,нога
knee,колено
ankle,лодыжка
foot,ступня
toe,палец ноги
skin,кожа
bone,кость
muscle,мышца
heart,сердце
brain,мозг
lung,лёгкое
blood,кровь
nerve,нерв
health,здоровье
illness,болезнь
disease,заболевание
pain,боль
fever,жар / температура
cough,кашель
flu,грипп
injury,травма
wound,рана
medicine,лекарство
pill,таблетка
treatment,лечение
cure,лечение / средство
surgery,операция
hospital,больница
clinic,клиника
pharmacy,аптека
diet,диета
exercise,упражнение / зарядка
sleep deprivation,недосып
stress,стресс
energy,энергия
strength,сила
breath,дыхание
food,еда
meal,приём пищи
breakfast,завтрак
lunch,обед
dinner,ужин
snack,перекус
water,вода
tea,чай
coffee,кофе
juice,сок
milk,молоко
bread,хлеб
butter,масло (сливочное)
oil,масло (растительное)
cheese,сыр
egg,яйцо
meat,мясо
chicken,курица
beef,говядина
pork,свинина
fish,рыба
rice,рис
pasta,паста / макароны
potato,картофель
tomato,помидор
onion,лук
garlic,чеснок
carrot,морковь
pepper,перец
salt,соль
sugar,сахар
flour,мука
soup,суп
salad,салат
sandwich,сэндвич
fruit,фрукт
apple,яблоко
banana,банан
orange,апельсин
lemon,лимон
grape,виноград
berry,ягода
vegetable,овощ
nut,орех
honey,мёд
chocolate,шоколад
cake,торт
cookie,печенье
ice cream,мороженое
plate,тарелка
bowl,миска
cup,чашка
glass,стакан
fork,вилка
knife,нож
spoon,ложка
bottle,бутылка
recipe,рецепт
taste,вкус
flavor,вкус / аромат
fresh produce,свежие продукты
house,дом
home,дом (жилище)
apartment,квартира
room,комната
kitchen,кухня
bedroom,спальня
bathroom,ванная
living room,гостиная
office,офис / кабинет
garage,гараж
garden,сад
yard,двор
wall,стена
floor,пол / этаж
ceiling,потолок
roof,крыша
door,дверь
window,окно
stairs,лестница
furniture,мебель
table,стол
desk,письменный стол
chair,стул
sofa,диван
bed,кровать
shelf,полка
drawer,ящик
closet,шкаф / гардероб
mirror,зеркало
lamp,лампа
light bulb,лампочка
curtain,штора
carpet,ковёр
pillow,подушка
blanket,одеяло
towel,полотенце
key,ключ
lock,замок
clock,часы (настенные)
watch,часы (наручные)
phone,телефон
charger,зарядное устройство
battery,батарея / аккумулятор
cable,кабель
plug,вилка / штекер
socket,розетка
switch,выключатель
fridge,холодильник
stove,плита
oven,духовка
microwave,микроволновка
sink,раковина
trash,мусор
bin,мусорное ведро
broom,метла
bucket,ведро
soap,мыло
brush,щётка
tool,инструмент
hammer,молоток
screwdriver,отвёртка
nail,гвоздь
screw,винт / шуруп
wire,провод
rope,верёвка
box,коробка
bag,сумка / пакет
basket,корзина
container,контейнер
jar,банка
nature,природа
world,мир
earth,земля / Земля
sky,небо
sun,солнце
moon,луна
star,звезда
planet,планета
space,космос / пространство
air,воздух
wind,ветер
cloud,облако
rain,дождь
snow,снег
ice,лёд
storm,буря / шторм
thunder,гром
lightning,молния
fog,туман
weather,погода
climate,климат
temperature,температура
season,сезон / время года
spring,весна
summer,лето
autumn,осень
winter,зима
fire,огонь
flame,пламя
smoke,дым
land,земля / суша
ground,земля / почва
soil,почва
sand,песок
rock,камень / скала
stone,камень
mountain,гора
hill,холм
valley,долина
forest,лес
tree,дерево
wood,дерево / древесина
leaf,лист
flower,цветок
grass,трава
plant,растение
root,корень
seed,семя
field,поле
river,река
lake,озеро
sea,море
ocean,океан
beach,пляж
island,остров
desert,пустыня
wave,волна
animal,животное
dog,собака
cat,кошка
horse,лошадь
cow,корова
pig,свинья
sheep,овца
bird,птица
chicken bird,курица (птица)
duck,утка
eagle,орёл
snake,змея
frog,лягушка
insect,насекомое
bee,пчела
ant,муравей
spider,паук
butterfly,бабочка
wolf,волк
bear,медведь
lion,лев
tiger,тигр
elephant,слон
monkey,обезьяна
mouse,мышь
rabbit,кролик
country,страна
nation,нация / государство
city,город
town,городок
village,деревня
capital,столица
region,регион
area,район / область
border,граница
map,карта
direction,направление
north,север
south,юг
east,восток
west,запад
time,время
moment,момент
second,секунда
minute,минута
hour,час
day,день
week,неделя
month,месяц
year,год
decade,десятилетие
century,век
today,сегодня
tomorrow,завтра
yesterday,вчера
morning,утро
noon,полдень
afternoon,день (после полудня)
evening,вечер
night,ночь
midnight,полночь
weekend,выходные
holiday,праздник / отпуск
date,дата
deadline,срок / дедлайн
schedule,расписание
period,период
duration,продолжительность
delay,задержка
beginning,начало
middle,середина
end of time,конец
past,прошлое
present,настоящее
future,будущее
number,число
amount,количество
quantity,количество
sum,сумма
average,среднее
half,половина
quarter,четверть
third,треть
pair,пара
dozen,дюжина
couple,пара / несколько
few,несколько
several,несколько
many,много
much,много
plenty,множество
enough,достаточно
rest of,остальное
percent,процент
rate,ставка / темп
ratio,соотношение
amount of,объём
clothes,одежда
shirt,рубашка
t-shirt,футболка
trousers,брюки
jeans,джинсы
shorts,шорты
dress,платье
skirt,юбка
jacket,куртка / пиджак
coat,пальто
sweater,свитер
suit,костюм
shoe,туфля / ботинок
boot,сапог
sock,носок
hat,шляпа / шапка
cap,кепка
glove,перчатка
scarf,шарф
belt,ремень
tie,галстук
pocket,карман
button,пуговица / кнопка
zipper,молния (застёжка)
size,размер
fashion,мода
style,стиль
business,бизнес
company,компания
firm,фирма
corporation,корпорация
startup,стартап
industry,отрасль
market,рынок
economy,экономика
trade,торговля
deal,сделка
contract,контракт
agreement,соглашение
project,проект
task,задача
goal,цель
objective,цель / задача
target,цель / показатель
strategy,стратегия
plan of action,план действий
budget,бюджет
cost,стоимость / затраты
price,цена
profit,прибыль
loss,убыток
revenue,выручка
income,доход
expense,расход
investment,инвестиция
fund,фонд / средства
loan,заём / кредит
debt,долг
tax,налог
fee,сбор / комиссия
salary,зарплата
wage,заработная плата
bonus,премия / бонус
payment,платёж
invoice,счёт-фактура
receipt,чек / квитанция
account,счёт / аккаунт
bank,банк
cash,наличные
currency,валюта
exchange,обмен
value,ценность / значение
worth,стоимость
asset,актив
resource,ресурс
supply,поставка / снабжение
demand,спрос
product,продукт
service,услуга
quality,качество
brand,бренд
sales,продажи
marketing,маркетинг
advertisement,реклама
campaign,кампания
customer support,поддержка клиентов
meeting,встреча / совещание
presentation,презентация
report,отчёт
document,документ
file,файл
folder,папка
form,форма / бланк
letter,письмо
email,электронная почта
message,сообщение
note,заметка
list,список
chart,диаграмма
graph,график
spreadsheet,таблица
template,шаблон
signature,подпись
stamp,печать / штамп
approval,одобрение
permission,разрешение
deadline pressure,давление сроков
priority,приоритет
progress,прогресс
result,результат
outcome,итог / результат
success,успех
failure,неудача
mistake,ошибка
problem,проблема
issue,проблема / вопрос
solution,решение
decision,решение
opportunity,возможность
risk,риск
benefit,выгода / польза
advantage,преимущество
disadvantage,недостаток
responsibility,ответственность
role,роль
position,должность / позиция
career,карьера
promotion,повышение
interview,собеседование
resume,резюме
skill,навык
experience,опыт
knowledge,знание
training,обучение
workshop,мастер-класс
conference,конференция
education,образование
school,школа
university,университет
college,колледж
class,класс / занятие
lesson,урок
course,курс
subject,предмет
lecture,лекция
seminar,семинар
homework,домашнее задание
assignment,задание
exam,экзамен
test paper,контрольная
grade,оценка
degree,степень / диплом
diploma,диплом
certificate,сертификат
library,библиотека
book,книга
page,страница
chapter,глава
paragraph,абзац
sentence,предложение
word,слово
letter symbol,буква
language,язык
grammar,грамматика
vocabulary,словарный запас
meaning,значение / смысл
translation,перевод
example,пример
question,вопрос
answer key,ответ
science,наука
research,исследование
experiment,эксперимент
theory,теория
fact,факт
evidence,доказательство
proof,доказательство
method,метод
process,процесс
system,система
structure,структура
function,функция
formula,формула
rule,правило
law,закон
principle,принцип
concept,концепция / понятие
idea,идея
model,модель
pattern,шаблон / паттерн
math,математика
number theory,теория чисел
equation,уравнение
variable,переменная
constant,константа
value of x,значение
sum total,сумма
difference,разность
product math,произведение
quotient,частное
fraction,дробь
decimal,десятичная дробь
integer,целое число
percentage,процент
addition,сложение
subtraction,вычитание
multiplication,умножение
division,деление
square,квадрат
root math,корень
power,степень
angle,угол
line,линия
point,точка
shape,фигура / форма
circle,круг
triangle,треугольник
rectangle,прямоугольник
length,длина
width,ширина
height,высота
depth,глубина
weight,вес
mass,масса
speed,скорость
distance,расстояние
volume,объём
density,плотность
force,сила
gravity,гравитация
pressure,давление
heat,тепло
sound,звук
chemistry,химия
physics,физика
biology,биология
element,элемент
atom,атом
molecule,молекула
cell,клетка
gene,ген
species,вид
feeling,чувство
emotion,эмоция
mood,настроение
happiness,счастье
joy,радость
sadness,грусть
fear,страх
anger,гнев
surprise,удивление
disgust,отвращение
love feeling,любовь
hope feeling,надежда
trust,доверие
doubt,сомнение
worry,беспокойство
anxiety,тревога
calmness,спокойствие
confidence,уверенность
pride,гордость
shame,стыд
guilt,вина
jealousy,ревность / зависть
gratitude,благодарность
respect,уважение
sympathy,сочувствие
patience,терпение
courage,смелость
honesty,честность
kindness,доброта
loyalty,верность
curiosity,любопытство
motivation,мотивация
ambition,амбиция
desire,желание
need feeling,потребность
character,характер
personality,личность
habit,привычка
behavior,поведение
attitude,отношение / настрой
opinion,мнение
belief,убеждение
thought,мысль
mind,разум / ум
memory,память
attention,внимание
focus,сосредоточенность
imagination,воображение
creativity,креативность
intelligence,интеллект
wisdom,мудрость
sense,чувство / смысл
reason,причина / разум
purpose,цель / назначение
cause,причина
effect,следствие / эффект
relationship,отношения
connection,связь
difference between,разница
similarity,сходство
balance,баланс / равновесие
order,порядок
chaos,хаос
freedom,свобода
power influence,власть
truth,правда / истина
lie,ложь
secret,секрет
mystery,тайна
chance,шанс / случайность
luck,удача
fate,судьба
choice,выбор
option,вариант
limit,предел / ограничение
condition,условие
situation,ситуация
circumstance,обстоятельство
context,контекст
state,состояние
quality trait,качество
feature,особенность / функция
detail,деталь
aspect,аспект
factor,фактор
impact,воздействие
influence,влияние
change process,изменение
growth,рост
progress idea,прогресс
development,развитие
improvement,улучшение
solution idea,решение
computer,компьютер
laptop,ноутбук
desktop,настольный компьютер
server,сервер
device,устройство
hardware,аппаратное обеспечение
software,программное обеспечение
program,программа
application,приложение
app,приложение
operating system,операционная система
screen,экран
display,дисплей
monitor device,монитор
keyboard,клавиатура
mouse device,мышь
processor,процессор
core,ядро
memory ram,оперативная память
storage,хранилище
disk,диск
drive,накопитель
file system,файловая система
directory,каталог
path,путь
filename,имя файла
extension,расширение (файла)
shortcut,ярлык / сочетание клавиш
icon,значок
window ui,окно
menu,меню
button ui,кнопка
toolbar,панель инструментов
cursor,курсор
clipboard,буфер обмена
setting,настройка
preference,предпочтение / настройка
feature flag,флаг функции
update software,обновление
version,версия
release software,релиз
patch software,патч
bug,баг / ошибка
glitch,сбой
crash,сбой / падение
freeze,зависание
performance,производительность
to speed up,ускорять
to slow down,замедлять
code,код
source code,исходный код
programming,программирование
language prog,язык программирования
syntax,синтаксис
semantics,семантика
keyword,ключевое слово
statement,оператор / инструкция
expression,выражение
operator,оператор
operand,операнд
variable prog,переменная
constant prog,константа
value prog,значение
type,тип
data type,тип данных
integer type,целое число
float,число с плавающей точкой
string,строка
boolean,логический тип
array,массив
list data,список
tuple,кортеж
set data,множество
dictionary,словарь
map data,отображение / словарь
object,объект
instance,экземпляр
class prog,класс
property,свойство
attribute,атрибут
function prog,функция
argument,аргумент
parameter,параметр
return value,возвращаемое значение
default value,значение по умолчанию
scope,область видимости
namespace,пространство имён
module,модуль
package,пакет
library prog,библиотека
framework,фреймворк
dependency,зависимость
import statement,импорт
export statement,экспорт
declaration,объявление
definition,определение
condition prog,условие
branch prog,ветвление
loop prog,цикл
iteration,итерация
recursion,рекурсия
reference,ссылка
pointer,указатель
null,null / пусто
undefined,неопределённое
nil,nil / ничего
flag,флаг
counter,счётчик
index prog,индекс
range,диапазон
sequence,последовательность
collection,коллекция
element prog,элемент
key value,ключ
pair key-value,пара ключ-значение
node,узел
edge,ребро (графа)
graph data,граф
stack,стек
queue data,очередь
heap,куча
hash,хеш
hash table,хеш-таблица
buffer,буфер
cache data,кэш
token,токен
literal,литерал
comment code,комментарий
indentation,отступ
whitespace,пробельный символ
escape character,управляющий символ
encoding,кодировка
bit,бит
byte,байт
binary,двоичный
hexadecimal,шестнадцатеричный
inheritance,наследование
encapsulation,инкапсуляция
polymorphism,полиморфизм
abstraction,абстракция
interface,интерфейс
abstract class,абстрактный класс
constructor,конструктор
destructor,деструктор
override method,переопределение
overload,перегрузка
getter,геттер
setter,сеттер
static method,статический метод
instance method,метод экземпляра
to encapsulate,инкапсулировать
composition,композиция
generic,обобщённый тип
template prog,шаблон
closure,замыкание
callback,колбэк / обратный вызов
higher-order function,функция высшего порядка
pure function,чистая функция
side effect,побочный эффект
immutability,неизменяемость
mutable,изменяемый
state management,управление состоянием
event,событие
event loop,цикл событий
listener,слушатель
handler,обработчик
promise,промис
async,асинхронный
await keyword,ожидание
coroutine,сопрограмма
thread,поток
process prog,процесс
concurrency,конкурентность
parallelism,параллелизм
deadlock,взаимоблокировка
race condition,состояние гонки
mutex,мьютекс
semaphore,семафор
atomic,атомарный
web,веб
website,веб-сайт
webpage,веб-страница
browser,браузер
frontend,фронтенд
backend,бэкенд
fullstack,фулстек
server side,серверная часть
markup,разметка
element html,элемент
tag,тег
attribute html,атрибут
stylesheet,таблица стилей
selector,селектор
layout,макет / разметка
responsive,адаптивный
component,компонент
state ui,состояние
props,свойства (компонента)
hook,хук
render,рендеринг
virtual dom,виртуальный DOM
template engine,шаблонизатор
route,маршрут
routing,маршрутизация
endpoint,конечная точка / эндпоинт
request,запрос
response,ответ
header,заголовок
payload,полезная нагрузка
body request,тело запроса
status code,код состояния
session,сессия
form data,данные формы
validation,валидация
input,ввод / поле ввода
output,вывод
submit,отправка
upload web,загрузка (на сервер)
download web,скачивание
url,URL / адрес
domain,домен
subdomain,поддомен
port,порт
protocol,протокол
api,API
endpoint api,эндпоинт API
rest,REST
graphql,GraphQL
websocket,веб-сокет
ajax,AJAX
json,JSON
xml,XML
yaml,YAML
query string,строка запроса
query parameter,параметр запроса
middleware,промежуточное ПО
controller,контроллер
view,представление
service prog,сервис
proxy server,прокси-сервер
load balancer,балансировщик нагрузки
cdn,сеть доставки контента
database,база данных
table db,таблица
row,строка (записи)
column,столбец
record,запись
field db,поле
primary key,первичный ключ
foreign key,внешний ключ
index db,индекс
schema,схема
query db,запрос
relation,отношение / связь
